latitude,longitude,altitude,geometry,coordinates,@id,alt_name,amenity,bus,name,public_transport,shelter,barrier,short_name,network,operator,building,landuse,wheelchair,internet_access,railway,addr:postcode,depot,addr:city,addr:housenumber,addr:street,name:en,source,toilets:wheelchair,name:hi,name:de,description
28.6697241,77.2312379,,Polygon,"77.2312379,28.6697241,77.2298272,28.6693074,77.2289492,28.6690897,77.2288537,28.668804,77.2292791,28.6678113,77.2298232,28.66795,77.2298942,28.6676548,77.2304176,28.6678088,77.2312139,28.6682197,77.231613,28.6684517,77.2319827,28.6685885,77.2316869,28.6694511,77.2312379,28.6697241",way/40943545,Kashmere Gate ISBT,bus_station,yes,Maharana Pratap ISBT,station,yes,,,,,,,,,,,,,,,,,,,,
28.6452228,77.3122859,,Polygon,"77.3122859,28.6452228,77.3127109,28.6448145,77.3160965,28.644967,77.3165219,28.6461989,77.3174375,28.6484411,77.3167491,28.6486213,77.3154595,28.6475851,77.3153672,28.647513,77.3149716,28.647206,77.3122859,28.6452228",way/52081141,,bus_station,yes,Anand Vihar Interstate Bus Terminal,station,,wall,Anand Vihar ISBT,,,,,,,,,,,,,,,,,,
28.6250811,77.0653388,,Polygon,"77.0653388,28.6250811,77.0655359,28.6251568,77.0661528,28.6253937,77.0662053,28.6254139,77.0661828,28.6254606,77.0660841,28.6256557,77.0658655,28.6255706,77.0655803,28.6261344,77.0649369,28.6258839,77.0652519,28.6252584,77.0653388,28.6250811",way/58472851,,bus_station,,Uttam Nagar Terminal,,,wall,,,,,,,,,,,,,,,,,,,
28.5981565,77.0643407,,Polygon,"77.0643407,28.5981565,77.0645202,28.5980403,77.064781,28.5978935,77.064991,28.5980855,77.065316,28.5978681,77.0660184,28.5985554,77.0651233,28.5995705,77.0649416,28.5993775,77.0648223,28.5994483,77.0642627,28.5988165,77.0643407,28.5981565",way/59035953,,bus_station,,DTC Bus Depot Sector 2,,,wall,,,,,,,,,,,,,,,,,,,
28.7070708,77.1768606,,Polygon,"77.1768606,28.7070708,77.177716,28.7065466,77.1784241,28.7072347,77.1778434,28.70798,77.1772628,28.707508,77.1768606,28.7070708",way/78175818,,bus_station,,Azadpur,,,,,,,,,,,,,,,,,,,,,,
28.7311879,77.122324,,Polygon,"77.122324,28.7311879,77.121459,28.7302161,77.122682,28.729379,77.123547,28.7303508,77.122324,28.7311879",way/78563279,,bus_station,,DTC Bus Depot,,,,,,,,,,,,,,,,,,,,,,
28.5840027,77.2584308,,Polygon,"77.2584308,28.5840027,77.2595589,28.5842901,77.2587745,28.5864321,77.2580583,28.5894221,77.2571902,28.5890822,77.2573837,28.587441,77.2578261,28.586436,77.2584308,28.5840027",way/80439683,,bus_station,yes,Sarai Kale Khan ISBT,station,,,,,,,,,,,,,,,,,,,,,
28.6854887,77.329553,,Polygon,"77.329553,28.6854887,77.3315132,28.6826541,77.331729,28.6828329,77.3317521,28.6829774,77.3308478,28.686125,77.329553,28.6854887",way/153965502,,bus_station,yes,Seemapuri Bus Depot,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.5759145,77.0692407,,Polygon,"77.0692407,28.5759145,77.0701864,28.5752624,77.0712161,28.5764139,77.0702705,28.5770661,77.0692407,28.5759145",way/154161499,,bus_station,,Dwarka Bus Depot,,,wall,,,,,,,,,,,,,,,,,,,
28.615197,76.9769509,,Polygon,"76.9769509,28.615197,76.9771325,28.6151271,76.9772136,28.6150559,76.9773745,28.6149617,76.9775891,28.6148393,76.977878,28.6147016,76.9781877,28.6145635,76.9783197,28.6148374,76.9779539,28.6152255,76.9777393,28.6154044,76.9775789,28.615534,76.9775187,28.6155882,76.9774337,28.615682,76.9773348,28.6157432,76.9772127,28.6155764,76.9771524,28.6155137,76.977065,28.6154052,76.9769509,28.615197",way/165709049,,bus_station,,Najafgarh Main Bus Stand,,,,,,,,,,,,,,,,,,,,,,
28.6692699,77.2309986,,Polygon,"77.2309986,28.6692699,77.2303673,28.6690822,77.2304304,28.668919,77.2302403,28.6688624,77.2300676,28.6688111,77.2302418,28.66836,77.2304134,28.668411,77.2305978,28.6684659,77.2306605,28.6683036,77.2312985,28.6684933,77.2309986,28.6692699",way/170062629,,bus_station,yes,,station,,,,,,yes,,,,,,,,,,,,,,,
28.6690612,77.2296923,,Polygon,"77.2296923,28.6690612,77.2298532,28.6686378,77.2297584,28.6686101,77.2297023,28.6685937,77.2298204,28.668283,77.2298794,28.6683003,77.2299713,28.6683272,77.2300812,28.6680379,77.2303347,28.6681121,77.2302418,28.66836,77.2300676,28.6688111,77.2299458,28.6691354,77.2296923,28.6690612",way/170062630,,bus_station,yes,Maharana Pratap ISBT,station,,,,,,yes,,,,,,,,,,,,,,,
28.696048,77.11041,,Polygon,"77.11041,28.696048,77.112237,28.6965904,77.1119768,28.6976261,77.111213,28.6981636,77.1107835,28.697682,77.1101052,28.6968941,77.11041,28.696048",way/171496285,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6926906,77.081412,,Polygon,"77.081412,28.6926906,77.0817819,28.692685,77.0817923,28.6932099,77.0814224,28.6932156,77.081412,28.6926906",way/171527947,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6880978,77.090659,,Polygon,"77.090659,28.6880978,77.0914641,28.6880759,77.0914817,28.6885766,77.0906767,28.6885985,77.090659,28.6880978",way/171640370,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.8223162,77.1018825,,Polygon,"77.1018825,28.8223162,77.1022707,28.8212956,77.1040062,28.8218024,77.1036179,28.822823,77.1018825,28.8223162",way/189587014,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6458205,77.3191709,,Polygon,"77.3191709,28.6458205,77.3191629,28.6461147,77.3177896,28.6460676,77.3177306,28.6459405,77.3179881,28.6457875,77.3191709,28.6458205",way/196483129,,bus_station,,Kaushambi Bus Depot,,,,,,,,,,,,,,,,,,,,,,
28.5792481,77.2250247,,Polygon,"77.2250247,28.5792481,77.2259259,28.5791892,77.2272241,28.5790974,77.2279054,28.5790573,77.228702,28.5790573,77.2296649,28.5790785,77.2307029,28.5790577,77.2316366,28.5791206,77.2356411,28.5791896,77.2356224,28.5796462,77.2340745,28.5795873,77.2340862,28.5795406,77.2321003,28.5795022,77.2311541,28.5794695,77.2300921,28.5794295,77.2300921,28.5794998,77.2296032,28.5795001,77.2292438,28.5795143,77.2288683,28.5795025,77.2288698,28.5794581,77.228871,28.5794224,77.2270256,28.579453,77.2250488,28.5795873,77.2250247,28.5792481",way/204969700,,bus_station,yes,Kushak Nallah Bus Depot,station,,,,,,,garages,,,,,,,,,,,,,,
28.6247279,77.1012031,,Polygon,"77.1012031,28.6247279,77.0981797,28.6237044,77.1022329,28.622548,77.1012031,28.6247279",way/258900789,,bus_station,yes,Hari Nagar DTC Depot,station,,,,Delhi Public Transport,DTC,,garages,,,,,,,,,,,,,,
28.6115515,77.0766194,,Polygon,"77.0766194,28.6115515,77.0765976,28.6111635,77.0769731,28.6111515,77.0769906,28.6115333,77.0766194,28.6115515",way/260463362,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6817416,77.0775571,,Polygon,"77.0775571,28.6817416,77.0785546,28.6816183,77.0788336,28.6834066,77.077868,28.683529,77.0775571,28.6817416",way/261659745,,bus_station,,Delhi Transport Corporation,,,,,,,,,,,,,,,,,,,,,,
28.6222275,76.9291235,,Polygon,"76.9291235,28.6222275,76.9290806,28.620683,76.9297565,28.6206642,76.929683,28.6188413,76.9298547,28.6187001,76.9306486,28.6186812,76.9306255,28.6182814,76.9310509,28.6180309,76.9310831,28.6195335,76.9310761,28.6208619,76.9291235,28.6222275",way/262038315,,bus_station,,Kair DTC Depot,,,wall,,,,,garages,,,,,,,,,,,,,,
28.6608409,77.0038728,,Polygon,"77.0038728,28.6608409,77.0033672,28.6611231,77.0028934,28.6604171,77.0036123,28.6604052,77.0038728,28.6608409",way/263597734,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6010411,77.3267785,,Polygon,"77.3267785,28.6010411,77.3277674,28.5997991,77.3280255,28.6000332,77.3285866,28.6001509,77.3288642,28.5998807,77.3296018,28.6004066,77.3301814,28.6006026,77.3296662,28.6008567,77.3285403,28.6021456,77.3267785,28.6010411",way/283749979,,bus_station,,,,,wall,,,,,,,,,,,,,,,,,,,
28.6321034,77.2152218,,Polygon,"77.2152218,28.6321034,77.2157758,28.6320767,77.2158292,28.6329315,77.2152752,28.6329582,77.2152218,28.6321034",way/284192857,,bus_station,yes,Shivaji Stadium Bus Terminal,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,yes,,,,,,,,,,,,,
28.6392203,77.2432462,,Polygon,"77.2432462,28.6392203,77.2442252,28.6391695,77.2442225,28.6395244,77.2432299,28.6396131,77.2432462,28.6392203",way/289960317,,bus_station,yes,Doctor Ambedkar Terminal (Dilli Gate),station,,wall,,,"Delhi Transport Corporation (DTC), Delhi Transit",,,,no,,,,,,,,,,,,
28.6288758,76.9976109,,Polygon,"76.9976109,28.6288758,76.9977673,28.6279571,76.9981381,28.6282791,76.9985997,28.6283758,76.9989724,28.6284859,76.999208,28.6286741,76.9990863,28.6291029,76.9989955,28.6290826,76.9986692,28.6296284,76.9976109,28.6288758",way/290783273,,bus_station,,Dichaun Kalan DTC Depot,,,wall,,,,,garages,,,,,,,,,,,,,,
28.6537968,77.123922,,Polygon,"77.123922,28.6537968,77.1240354,28.6540663,77.1240087,28.6541318,77.1239607,28.6542254,77.1239207,28.6542675,77.1235475,28.6543985,77.1231449,28.6545202,77.1230196,28.6541856,77.1232154,28.6541326,77.1232621,28.6540238,77.123922,28.6537968",way/292045086,,bus_station,,,,,wall,,,,,,,,platform,,,,,,,,,,,
28.7167494,77.112364,,Polygon,"77.112364,28.7167494,77.1110742,28.7153371,77.1118883,28.7147653,77.1131781,28.7161776,77.112364,28.7167494",way/300260618,,bus_station,,Rohini DTC Depot,,,,,,DTC,,,,,,,,,,,,,,,,
28.6431012,77.2236353,,Polygon,"77.2236353,28.6431012,77.223465,28.6429482,77.2234328,28.6429035,77.2234194,28.6428635,77.2233712,28.6424468,77.2233738,28.6424042,77.2233889,28.6423789,77.2235897,28.6421279,77.2237252,28.6421255,77.223756,28.6430965,77.2236353,28.6431012",way/463710713,,bus_station,yes,New Delhi Railway Station (Ajmeri Gate),station,,,,,,,,,,,,,,,,,,,,,
28.6665341,77.2278044,,Polygon,"77.2278044,28.6665341,77.2278826,28.6664841,77.2279961,28.6662989,77.2281094,28.666198,77.2285158,28.6662645,77.2289218,28.6663875,77.228601,28.6670773,77.2285759,28.6671312,77.2283649,28.6670801,77.2281423,28.6670778,77.2278714,28.6671625,77.2275817,28.6671601,77.2275361,28.6668377,77.2275343,28.6667707,77.2275308,28.6666424,77.2276515,28.6666447,77.2278044,28.6665341",way/464312288,,bus_station,yes,DTC Kashmere Gate Bus Station,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.5866203,77.2533622,,Polygon,"77.2533622,28.5866203,77.2533394,28.5866497,77.253318,28.5866791,77.2532831,28.5867015,77.2532442,28.5867204,77.2532067,28.5867298,77.2531678,28.5867345,77.2531262,28.586738,77.2530846,28.5867286,77.2530471,28.5867156,77.2530109,28.5866956,77.252976,28.5866685,77.2529452,28.5866379,77.2529224,28.5866026,77.2529089,28.5865567,77.2529036,28.5865096,77.2531664,28.5860526,77.2534159,28.586095,77.2533622,28.5866203",way/584241791,,bus_station,yes,Nizamuddin Railway Station,station,,,,,,,,,,,,,,,,,,,,,
28.4912396,77.3039186,,Polygon,"77.3039186,28.4912396,77.3029464,28.4953264,77.3028777,28.4956154,77.3027496,28.4955919,77.3037905,28.4912161,77.3038511,28.4912247,77.3038886,28.4912341,77.3039186,28.4912396",way/587123756,,bus_station,yes,Badarpur Border,station,,,,,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.6986812,77.3061237,,Polygon,"77.3061237,28.6986812,77.3060497,28.6986761,77.3051306,28.6986138,77.3052784,28.6969367,77.3062716,28.6970041,77.3061237,28.6986812",way/605886399,,bus_station,yes,Nand Nagri Bus Depot,station,,,,,Delhi Transport Corporation,yes,,,,,110093,bus,,,,,,,,,
28.5225967,77.182421,,Polygon,"77.182421,28.5225967,77.1822864,28.5225219,77.1823642,28.5224158,77.1825144,28.5219115,77.1825707,28.5214657,77.1827397,28.5213688,77.1830374,28.5212265,77.183289,28.5212076,77.1836224,28.5212997,77.1837115,28.5217294,77.182421,28.5225967",way/632926871,,bus_station,yes,Mehrauli Bus Terminal,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.5238157,77.191709,,Polygon,"77.191709,28.5238157,77.1918404,28.5238204,77.1918377,28.5240726,77.1913522,28.5241197,77.1908024,28.5240914,77.1908426,28.5239665,77.1906334,28.5236814,77.1908507,28.523474,77.1909043,28.5235895,77.1914676,28.5234269,77.1913978,28.5232454,77.1914864,28.5232242,77.1916097,28.523269,77.1915668,28.5233609,77.191709,28.5238157",way/632926885,,bus_station,yes,Lado Sarai Bus Terminal,station,,,,,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.5786286,77.2464689,,Polygon,"77.2464689,28.5786286,77.245941,28.5786333,77.245945,28.5785511,77.2459526,28.5783932,77.245956,28.5783227,77.246595,28.578346,77.2465861,28.5785852,77.2464689,28.5786286",way/653235648,,bus_station,yes,Jal Vihar Terminal,station,,wall,,,,,,,,,,,,,,,,,,,
28.6741367,77.2868203,,Polygon,"77.2868203,28.6741367,77.2868317,28.6740891,77.286776,28.6740768,77.2867935,28.6740097,77.2868605,28.6737273,77.2871663,28.673805,77.2874452,28.6738756,77.2874345,28.6739321,77.2876437,28.6739532,77.2876303,28.6740121,77.2877215,28.674038,77.2877081,28.6741086,77.2876222,28.6743298,77.2868203,28.6741367",way/683662846,,bus_station,yes,Shahdara Bus Station,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,110032,,Shahdara,Shahdar Bus Terminal,GT Road,,,,,,
28.6108671,77.2516076,,Point,,node/496457107,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6685915,77.2283796,,Point,,node/938534499,,bus_station,,Kashmiri Gate DTC Terminus,,,,,,,,,,,,,,,,,Kashmere Gate DTC Terminus,,,,,
28.6171973,77.203509,,Point,,node/943245926,Central Secretariat,bus_station,,Kendriya Bus Terminal,,,,,,,,,,,,,,New Delhi,,,,,,,,
28.6683615,77.2251757,,Point,,node/943749501,,bus_station,,Mori Gate Bus Terminal,,,,,,,,,,,,,,,,,,,,,,
28.6239117,77.101681,,Point,,node/1374470982,,bus_station,,Hari Nagar Bus Depot,,,,,,,,,,,,,,,,,,,,,,
28.5877996,77.0666315,,Point,,node/1480729645,,bus_station,,Princess Park,,,,,,,,,,,,,,,,,,,,,,
28.5796637,77.2134862,,Point,,node/1665799172,,bus_station,yes,Safdarjung Terminal,station,,,,,,,,,,,,,,,,,,,,,
28.640496,77.1741764,,Point,,node/1669092717,,bus_station,,Pusa Institute,,,,,,,,,,,,,,,,,,,,,,
28.6150691,76.9774983,,Point,,node/1764308090,,bus_station,,Najafgarh DTC Bus Depot,,,,,,,,,,,,,,,,,,local knowledge,,,,
28.6293311,76.9979463,,Point,,node/1848140182,,bus_station,,"DTC Bus Depot, Dichaon Kalan",,,,,,,yes,,,,,,,,,,,,,,,
28.4768282,77.1304909,,Point,,node/2036039194,,bus_station,,Aya Nagar Bus Terminal,,,,,,,,,,,,,,,,,,,,,,
28.5652603,77.2879233,,Point,,node/4405678392,,bus_station,,Okhla,,,,,,,,,,,,,,,,,Okhla,,yes,,,
28.595434,77.3100288,,Point,,node/4533766389,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6443349,77.1386099,,Point,,node/4574602992,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,
28.6086972,77.2302094,,Point,,node/4700705789,,bus_station,yes,Bikaner Bus Depot,station,,,,,,,,,,,,,,,,,,,Bikaner Bus Depot,,
28.644713,77.2044948,,Point,,node/4725833989,,bus_station,,Paharganj bus stand,,,,,,,,,,,,,,,,,Paharganj bus stand (Himachal Tourist),,,,,
28.5903554,77.2598548,,Point,,node/4879647926,,bus_station,yes,Shri Maruti travels,station,,,,,,,,,,,,,,,,Shri Maruti travels,,,,Shri Maruti travels,
28.6965737,77.2236325,,Point,,node/4917303822,,bus_station,,Majnu Ka Tila,,,,,,,,,,,,,,,,,,,,,,
28.6802124,77.2744804,,Point,,node/5170946821,,bus_station,,kardampuri,,,,,,,,,,wlan,,,,,,,,,,,,
28.7048472,77.2293263,,Point,,node/5218661930,,bus_station,,Potala Ground,,,,,,,,,,,,,,,,,,,,,,bedi tours
28.5912074,77.2962085,,Point,,node/5245901426,,bus_station,,Bus Station,,,,,,,,,no,,,,,,,,,,,,,
28.4941138,77.3022635,,Point,,node/5608721585,,bus_station,yes,Badarpur Border,station,,,,Delhi Public Transport,Delhi Transport Corporation,,,,,,,,,,,,,,,,
28.6233298,77.2184168,,Point,,node/5690505425,,bus_station,yes,Western Court Bus Terminus,station,,,,,,,,,,,,,,,,,,,,,
28.549499,77.1045577,,Point,,node/5753261921,,bus_station,,Transfer bus station,,,,,,,,,,,,,,,,,,,,,,
28.5936281,77.1644496,,Point,,node/6134583887,,bus_station,,Goldline Super Deluxe Bus Station,,,,,,,,,,,,,,,,,,,,,,
28.5419799,77.2300458,,Point,,node/6831721786,,bus_station,,Chirag Dilli Metro Station Gate no.2,,,,,,,,,,,,,,,,,,,,,,
