latitude,longitude,altitude,geometry,@id,internet_access,name,network,operator,public_transport,railway,ref,train,wikidata,wikipedia,name_alt,wheelchair,name:ar,name:ur,alt_name,name:kn,station,subway,name:hi,usage,admin_level
28.8464766,77.0856631,,Point,node/345195834,no,Narela,IR,NR,station,station,NUR,yes,Q24948632,,,,,,,,,,,,
28.8015786,77.1024832,,Point,node/345195841,no,Holambi Kalan,IR,NR,station,station,HUK,yes,Q31296640,,,,,,,,,,,,
28.7696903,77.1158609,,Point,node/345199448,no,Khera Kalan,IR,NR,station,station,KHKN,yes,Q24948474,en:Khera Kalan railway station,,,,,,,,,,,
28.6117094,77.1156635,,Point,node/632050796,no,Delhi Cantonment,IR,NR,station,station,DEC,yes,Q16955670,en:Delhi Cantonment railway station,Delhi Cantt,,,,,,,,,,
28.6734557,77.2922087,,Point,node/663759047,no,Delhi Shahdara Junction,IR,NR,station,station,DSA,yes,Q24948309,,,,,,,,,,,,
28.6731908,77.3182947,,Point,node/663760328,no,Vivek Vihar,IR,NR,station,station,VVB,yes,Q63369404,,,,,,,,,,,,
28.5822036,77.1862115,,Point,node/910356438,no,Delhi Safdarjang,IR,NR,station,station,DSJ,yes,Q15648788,,,,,,,,,,,,
28.5789548,77.2276886,,Point,node/910356522,no,Sewa Nagar,IR,NR,station,station,SWNR,yes,Q12458603,,,,,,,,,,,,
28.5594753,77.2656232,,Point,node/910356583,no,Okhla,IR,NR,station,station,OKA,yes,Q24949163,,,,,,,,,,,,
28.6685068,77.2004935,,Point,node/913081055,no,Subzimandi,IR,NR,station,station,,yes,Q18386051,en:Subzi Mandi railway station,,,,,,,,,,,
28.7035041,77.1770629,,Point,node/913486329,no,Delhi Azadpur,IR,NR,station,station,DAZ,yes,Q63371506,,,,,,,,,,,,
28.6671217,77.17119,,Point,node/914644353,no,Dayabasti,IR,NR,station,station,DBSI,yes,Q12433306,,,,,,,,,,,,
28.6598088,77.156957,,Point,node/914644362,no,Patel Nagar,IR,NR,station,station,PTNR,yes,Q12436750,en:Patel Nagar railway station,,,,,,,,,,,
28.6627515,77.1852561,,Point,node/915407469,no,Delhi Sarai Rohilla,IR,NR,station,station,DEE,yes,Q3635051,en:Delhi Sarai Rohilla railway station,,yes,,,,,,,,,
28.7144008,77.1672884,,Point,node/920882336,no,Adarsh Nagar,IR,NR,station,station,ANDI,yes,Q25548840,en:Adarsh Nagar railway station,,,,,,,,,,,
28.585353,77.0924713,,Point,node/940975619,no,Palam,IR,NR,station,station,PM,yes,Q12437774,,,,,,,,,,,,
28.5369587,77.0512889,,Point,node/941132747,no,Bijwasan,IR,NR,station,station,BWSN,yes,Q39049447,,,,,,,,,,,,
28.6488509,77.3155003,,Point,node/944845341,no,Anand Vihar Terminus,IR,NR,station,station,ANVT,yes,Q4751289,en:Anand Vihar Terminal railway station,,,,,,,,,,,
28.6814073,77.1275679,,Point,node/1825425942,no,Shakurbasti,IR,NR,station,station,SSB,yes,Q24947948,,,,,,,,,,,,
28.5026954,77.2976084,,Point,node/1835677720,wlan,Tughlakabad,Indian Railways (IR),Northern Railway (NR),station,station,TKD,yes,Q16902027,en:Tughlakabad railway station,,,,,,,,,,,
28.6137377,77.1402634,,Point,node/1988513576,no,Brar Square,IR,NR,station,station,BRSQ,yes,Q12440691,,,,,,,,,,,,
28.6627442,77.1979077,,Point,node/1988513580,no,Delhi Kishanganj,IR,NR,station,station,DKZ,yes,Q6416546,en:Kishanganj railway station,,,,,,,,,,,
28.5792615,77.2440325,,Point,node/1988513581,no,Lajpat Nagar,IR,NR,station,station,LPNR,yes,Q12451209,,,,لاجبت نغر,لاجپت نگر,,,,,,,
28.5797537,77.2168728,,Point,node/1988513582,no,Lodhi Colony,IR,NR,station,station,LDCY,yes,Q12451780,,,,,,,,,,,,
28.6160392,77.2472109,,Point,node/1988513583,no,Pragati Maidan,IR,NR,station,station,PGMD,yes,Q24949212,en:Pragati Maidan railway station,,,,,,,,,,,
28.5811131,77.1963073,,Point,node/1988513597,no,Sarojini Nagar,IR,NR,station,station,SOJ,yes,Q12455998,,,,,,,,,,,,
28.6334521,77.2266682,,Point,node/1988513598,no,Shivaji Bridge,IR,NR,station,station,CSB,yes,Q24948842,en:Shivaji Bridge railway station,,yes,,,,,,,,,
28.6280278,77.2378914,,Point,node/1988513599,no,Tilak Bridge,IR,NR,station,station,TKJ,yes,Q12432167,,,,,,,,,,,,
28.6644563,77.1838069,,Point,node/1988513600,no,Vivekanand Puri,IR,NR,station,station,WKP,yes,Q12453008,,,,,,Sarai Rohilla,,,,,,
28.5889646,77.2535202,,Point,node/1988585233,wlan,Hazrat Nizamuddin Junction,IR,NR,station,station,NZM,yes,Q2723139,en:Hazrat Nizamuddin railway station,,,,,,,,,,,
28.5603258,77.0715537,,Point,node/3736001861,no,Shahabad Mohammadpur,IR,NR,station,station,SMDP,yes,Q55643367,,,,,,,,,,,,
28.6158794,77.2122822,,Point,node/5453646586,,Central Secretariat,DMRC,,station,station,,yes,Q5061812,,,,,,,ಸೆಂಟ್ರಲ್ ಸೆಕ್ರೆಟರಿಸ್ಟ್,subway,yes,,,
28.6862813,77.0573608,,Point,node/5737166756,no,Nangloi,IR,NR,station,station,NNO,yes,Q24948642,,,,,,,,,,नाँगलोई,,
28.658087,77.2170087,,Point,node/5854161857,no,Sadar Bazar,IR,NR,station,station,DSB,yes,Q24947943,en:Sadar Bazar railway station,,yes,,,,,,,,main,
28.6419258,77.2217499,,Point,node/6131069513,wlan,New Delhi,IR,NR,station,station,NDLS,yes,Q2742296,en:New Delhi railway station,,,,,,,,,,,A1
28.6028727,77.1076284,,Point,node/6388555278,no,Nasirpur,IR,NR,station,station,NSN,yes,,,,,,,,,,,,,
